ID,Instagram Username,Instagram Pic Share URL,Instagram Direct Link,WasabiURL,Vintage Date,Image IPFS CID,Image IPFS URL,Metadata CID,Metadata IPFS URL,Contract Address,Token ID
1,aggretsuko,https://www.instagram.com/p/CVLXVqagVHZ/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/246187869_254637129951783_225512577885539205_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=Vf1D3hS9xSAAX8UcUWS&edm=AABBvjUBAAAA&ccb=7-4&oh=7aa74bda22a1682ffab80dcfba056c71&oe=61794983&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/246187869_254637129951783_225512577885539205_n.jpg,10/18/2021,QmYkR8zirG6iutLt3P3Vj6K4aSgtx4e17qUVkUrnGHygfn,https://ipfs.io/ipfs/QmYkR8zirG6iutLt3P3Vj6K4aSgtx4e17qUVkUrnGHygfn,QmPbRauFkKA43hB4WN8yLbZq2bY1MatETS9CEbTvMTEUth,https://ipfs.io/ipfs/QmPbRauFkKA43hB4WN8yLbZq2bY1MatETS9CEbTvMTEUth,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,1
2,cradleoffilth,https://www.instagram.com/p/CVSehxAsFGF/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/246804666_323309386224407_5563681764716080390_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=2Mm1fAnId9MAX8zw585&edm=AABBvjUBAAAA&ccb=7-4&oh=27ab645b8c386e5669cc12e7db6de5f2&oe=61788722&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/246804666_323309386224407_5563681764716080390_n.jpg,10/21/2021,QmdbqewdUAXKYYwwUb2ohSPfWHpGAuoGUoaZCRKhgYjKCZ,https://ipfs.io/ipfs/QmdbqewdUAXKYYwwUb2ohSPfWHpGAuoGUoaZCRKhgYjKCZ,QmTrfs44CpjQFgdgJc4YuyfBh6epfVswk8DYXjdr5mVS4j,https://ipfs.io/ipfs/QmTrfs44CpjQFgdgJc4YuyfBh6epfVswk8DYXjdr5mVS4j,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,2
3,kuncoro.ysf,https://www.instagram.com/p/CQ6h6dJhtql/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/210561601_493374595103923_1779031240527018461_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=__Wx0j7Jlb8AX8CHvab&edm=AABBvjUBAAAA&ccb=7-4&oh=c06b6a0b6b31cdfb8b41fe040330760e&oe=6178CDB5&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/210561601_493374595103923_1779031240527018461_n.jpg,7/5/2021,QmX6gq7ZAy8JfMjvEeCysFyCtSqkaYoeQA8km1v8rKjbm8,https://ipfs.io/ipfs/QmX6gq7ZAy8JfMjvEeCysFyCtSqkaYoeQA8km1v8rKjbm8,QmcaWGyCtX2vSy49PyL3VR2ue6f8ZZsAZimTTg6jJfAdkg,https://ipfs.io/ipfs/QmcaWGyCtX2vSy49PyL3VR2ue6f8ZZsAZimTTg6jJfAdkg,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,3
4,netflixkr,https://www.instagram.com/p/CUvyodjMIBd/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/244693907_116215967476386_6421037760491185533_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=kyOm-JD2JvkAX8k-BSB&edm=AABBvjUBAAAA&ccb=7-4&oh=b554acba55307221c0de3852118d44e3&oe=617827FD&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/244693907_116215967476386_6421037760491185533_n.jpg,10/7/2021,QmXeLcjZB6DWcR8Cs48gBRtAbctZyVYpUkM9XAgRDCtoJv,https://ipfs.io/ipfs/QmXeLcjZB6DWcR8Cs48gBRtAbctZyVYpUkM9XAgRDCtoJv,QmNMy16QgpqKGaFGEbckn9yfP17ZRros16CbzcsgbgCrrV,https://ipfs.io/ipfs/QmNMy16QgpqKGaFGEbckn9yfP17ZRros16CbzcsgbgCrrV,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,4
5,imdb,https://www.instagram.com/p/CVTA2QMvHLT/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/247452254_414944993489532_4571682700181802921_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=2WQEX0ahyuwAX8vewQP&edm=AABBvjUBAAAA&ccb=7-4&oh=f251748c51734f1232800eabb7ccba55&oe=6179985E&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/247452254_414944993489532_4571682700181802921_n.jpg,10/21/2021,Qma2A5qRzbdsiSHF6X6WA3Xyt2DEEuqmd5aNcjFcfnLDwd,https://ipfs.io/ipfs/Qma2A5qRzbdsiSHF6X6WA3Xyt2DEEuqmd5aNcjFcfnLDwd,Qmc5t3CwC37T3WfnBS2r3uXX9HYunH2xFHqsFSSkcse2Ce,https://ipfs.io/ipfs/Qmc5t3CwC37T3WfnBS2r3uXX9HYunH2xFHqsFSSkcse2Ce,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,5
6,giantsquiddesigns,https://www.instagram.com/p/CVT6GLernmW/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/247287438_396881648657550_5683201067676385149_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=5ev36D5q4IMAX_cFrR9&edm=AABBvjUBAAAA&ccb=7-4&oh=f8c074f3f14159f07b2c409bc88f1e01&oe=617935D9&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/247287438_396881648657550_5683201067676385149_n.jpg,10/21/2021,QmW6tjBnBcj2hdx2GU1ZvmBh71rT56M1Tkz8p6kXDxNYk5,https://ipfs.io/ipfs/QmW6tjBnBcj2hdx2GU1ZvmBh71rT56M1Tkz8p6kXDxNYk5,QmWZkVaN7EqQ1SVzz35DBrQZHAQ9mH5Y4Kug3LqcpKyNGL,https://ipfs.io/ipfs/QmWZkVaN7EqQ1SVzz35DBrQZHAQ9mH5Y4Kug3LqcpKyNGL,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,6
7,goldendweeb,https://www.instagram.com/p/CVT2EbEpKU1/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/247020247_555872032184789_6239046034304340173_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=7Y1YEU8RFekAX9GO4jF&tn=BJB7Wjfd3FXzWwSg&edm=AABBvjUBAAAA&ccb=7-4&oh=48cf02ca59e8f6a9b9416720be55fa22&oe=6179AA73&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/247020247_555872032184789_6239046034304340173_n.jpg,10/21/2021,QmV7JEi3WNGeD4m46nYEcqoLgb5QT3UbMbTH6mguxHZPpm,https://ipfs.io/ipfs/QmV7JEi3WNGeD4m46nYEcqoLgb5QT3UbMbTH6mguxHZPpm,QmfY42cJ32ATmos54N7hzJx1mJvK44j7esy1a5szv16Xh5,https://ipfs.io/ipfs/QmfY42cJ32ATmos54N7hzJx1mJvK44j7esy1a5szv16Xh5,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,7
8,kyotomi974,https://www.instagram.com/p/CVUBPKFoAmA/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/246804402_370688021510828_7428926388780647323_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=vaehL0WSBvQAX98a4bC&edm=AABBvjUBAAAA&ccb=7-4&oh=954069c408267b26a3663d56d3a858c1&oe=61785DBB&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/246804402_370688021510828_7428926388780647323_n.jpg,10/23/2021,QmVnSZhaKbkYfnEj2ARqfWeGEfvySZua9H3DwKpyLxtxMv,https://ipfs.io/ipfs/QmVnSZhaKbkYfnEj2ARqfWeGEfvySZua9H3DwKpyLxtxMv,QmQm1k7VdFs1rj6uEt8QR1HfWnwZCH2mMHwS7KxCN1jMim,https://ipfs.io/ipfs/QmQm1k7VdFs1rj6uEt8QR1HfWnwZCH2mMHwS7KxCN1jMim,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,8
9,arquivonatureza,https://www.instagram.com/p/CVT9JM_skr7/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/247448306_381216313446868_3082287690405353313_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=-ALObRyo4RgAX9sAxdR&edm=AABBvjUBAAAA&ccb=7-4&oh=e35f68f93202b99534f1df146ce262bd&oe=6179388F&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/247448306_381216313446868_3082287690405353313_n.jpg,10/21/2021,QmanvmwNzCoGH56VoNh9wu5EzCTb1VJpobso2Z4bBcRysF,https://ipfs.io/ipfs/QmanvmwNzCoGH56VoNh9wu5EzCTb1VJpobso2Z4bBcRysF,QmS57KCLEnPTrMGCYgAanDbmYBxqB7PPzPh8rCyyV7QzVD,https://ipfs.io/ipfs/QmS57KCLEnPTrMGCYgAanDbmYBxqB7PPzPh8rCyyV7QzVD,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,9
10,13dracko13,https://www.instagram.com/p/CVTuxH1tJZX/,https://instagram.fcgk26-1.fna.fbcdn.net/v/t51.2885-15/e35/247873877_331719512090792_4209664251653131853_n.jpg?_nc_ht=instagram.fcgk26-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=zQHZ0I0YXJEAX-p-hg5&edm=AABBvjUBAAAA&ccb=7-4&oh=6f6caaff7e169a61b1e1d232d328bc75&oe=61790520&_nc_sid=83d603,https://s3.wasabisys.com/instamint-dev/247873877_331719512090792_4209664251653131853_n.jpg,10/21/2021,QmW7w6PJBd2925JgWm6St6Uo5gyn3d4a9Js9rVeW96bh69,https://ipfs.io/ipfs/QmW7w6PJBd2925JgWm6St6Uo5gyn3d4a9Js9rVeW96bh69,QmSipgvsJfsqAv3jJNWzvhAgqU2Zm51ktDPW4hNAD3WNkV,https://ipfs.io/ipfs/QmSipgvsJfsqAv3jJNWzvhAgqU2Zm51ktDPW4hNAD3WNkV,0x6FCA0F70BcC4a86786c79414F8E84BD542F7c250,10
